,Year,Operations,Domestic Passengers,International Passengers,Total Passengers,Domestic Mail,International Mail,Total Mail,Domestic Freight,International Freight,Total Freight
43,1990.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
44,1991.0,109.23582525835126,104.02062230746596,111.51477144044837,105.02236568398679,92.01985890460493,82.89544384434289,90.18307764017403,99.52739040568639,83.16995413029959,94.7536263231179
45,1992.0,114.22614353719308,104.03853705516272,152.1438298238321,110.46877450460521,108.65741574555359,107.92023265475696,108.50901783942068,116.50100912146539,109.68011645183218,114.51039568491206
46,1993.0,110.58094455614778,94.0050619114881,178.20864928400442,105.26056062560878,120.76682401330257,108.07976734524303,118.2128687367442,142.80550561781664,144.03016445231393,143.16291079177537
47,1994.0,117.61742957528415,98.93572022649107,196.68004529621717,112.00121018320499,118.48173759830672,100.67746849466832,114.89766698112575,162.84151805847796,191.7507495370762,171.27840563448825
48,1995.0,127.22235755071033,106.74599729796948,200.01999627309604,119.21393849008186,137.6953394959602,87.00567788394959,127.49130777070802,172.84377539805294,193.6112458933243,178.9045665310316
49,1996.0,133.34310450891584,111.63917840313027,200.58541060447516,123.52862674384171,149.00293611335658,86.68937820246504,136.45896754826722,180.59418140897122,209.75608343861785,189.10480851121355
50,1997.0,140.19462530294084,118.29692898096381,219.34779180941186,131.80440404369037,151.61220965217598,104.20329594239024,142.06860560807692,198.75693606956614,264.56869627449095,217.96347991834858
51,1998.0,157.79099868295563,137.61912339600806,236.63546579132205,150.85464398703633,155.4461901032177,102.43899736878548,144.77563008905216,204.20146731844758,259.32952185961625,220.29007205331672
52,1999.0,192.06346584974133,177.5435320075167,268.2203316944512,189.66430541069346,171.43034653956073,120.5904999307575,161.196081973465,198.15537654858028,268.88596035125465,218.7974328471199
56,2000.0,188.44716752886967,175.52759208429134,303.31500938893106,192.60894403180507,159.9781082941363,124.58052901260214,152.85243393571207,198.89476263811886,338.79122164410626,239.72222973246997
57,2001.0,163.8609630525703,155.0478285058802,285.3668133537835,172.46757524293957,105.16856473899585,104.52624290264505,105.0392627829853,179.07183732647,301.37122727214825,214.7637651575575
58,2002.0,153.84894863526952,145.370514028298,293.1035075899832,165.11799238347172,37.406754317259406,106.48497438027974,51.31247644344531,184.63811219598097,328.2308840542284,226.54431346572397
59,2003.0,138.47421028946076,142.9646297635397,288.28562418473973,162.38969604493695,34.18666309251061,82.2008032128514,43.85210163496428,157.24069109906665,301.54690092909016,199.3551025374123
60,2004.0,193.89618057132475,201.41800757263022,333.62928773131887,219.09041013158634,32.058644082468064,48.424317961501174,35.35311972416808,162.12050566315435,363.19723739567564,220.80286050315655
61,2005.0,210.4182751260275,244.71044404356203,352.8640540114387,259.16734375420634,31.408454833697032,48.00997091815538,34.75040645510929,152.4010123189654,367.837013756278,215.27398510267258
62,2006.0,156.7121783253306,196.7026911600341,375.04651462809795,220.54192103554587,20.332480282805097,71.20952776623736,30.574233533828885,155.01012462137066,487.9322504177605,252.17031890013925
63,2007.0,158.1043644125528,207.8129864006054,426.11090406089187,236.99288250943252,9.328826545927207,91.04223791718599,25.778063244191987,165.5686992426697,487.1924987232682,259.4315831452016
64,2008.0,148.752523646933,195.05057543386036,447.1345842351963,228.74666042797682,16.39797669259326,96.66029635784517,32.55510282366427,143.23587957737638,471.08587627803456,238.91582063725954
65,2009.0,140.52615716179002,187.60605779452428,447.83380875249054,222.39071730467137,12.94556532398468,71.7955961778147,24.79231203263238,124.86953484010351,418.82915881616566,210.65888905411435
69,2010.0,138.94240098427392,190.3641216703313,457.4720123847885,226.06844988579806,12.599039724789984,63.3651848774408,22.81846789283412,133.80640425849734,500.09866444015455,240.70535871196248
70,2011.0,135.21173862242938,184.27234441788073,469.3335292346946,222.37649056259244,13.650204606472851,86.41517795319207,28.298084921797813,120.42801639983448,451.6389066775676,217.0888026712449
71,2012.0,128.84657465246954,175.6445798101457,478.734716110259,216.15865701087623,13.64378229480365,44.309652402714306,19.816944661889565,112.23921881733541,391.2226863362489,193.6579562813459
72,2013.0,127.08693731446807,165.414628541577,500.9032725083497,210.25941625904895,18.25737553629793,118.6677745464617,38.47039066524825,92.16922697334668,383.3453961805745,177.1462560664026
73,2014.0,119.47615489102387,159.16134209769976,514.5668190874819,206.66841411296647,22.049052499605587,51.70807367400637,28.01953214730959,86.2587674735025,447.7395768314587,191.7535452124424
74,2015.0,111.09000904177796,159.94012493214237,515.132233418861,207.41867596645324,29.990240878572234,45.101786456169506,33.03225547459906,87.26077808061231,423.44241621339313,185.37223040839223
75,2016.0,109.23417379205561,158.67522210140214,535.8757507561314,209.09564001609874,28.198136691923104,67.69644093615842,35.034200214545855,97.85853400827627,404.429361703606,187.3283495329377
76,2017.0,109.4199637503148,165.56558793713782,555.0640024081533,217.62986500689925,30.7921921443959,91.82107741310068,43.07755096579086,100.4005465338861,474.181067776217,209.4848796182391
